country,ppp
1,0.31247218
2,0.3911531019
3,
4,0.7296381042
5,
6,0.3900315892
7,0.9708119266
8,0.5360368464
9,1.0359634076
10,
11,0.3246305077
12,0.4502182556
13,0.4390199571
14,0.3445921135
15,0.8975921961
16,
17,0.6132987439
18,0.5915097163
19,0.769301475
20,0.3491447829
21,0.3167124645
22,0.3580931472
23,0.2229576092
24,0.9883711392
25,0.6540282699
26,0.6556453968
27,0.4418931167
28,0.3505696421
29,0.6895708677
30,0.3034750635
31,0.3868634937
32,0.5720580013
33,
34,0.5530128996
35,
36,0.3267286271
37,0.2651746886
38,0.8908669117
39,0.469344605
40,0.6682002969
41,
42,1.0431160041
43,
44,
45,0.4545039768
46,0.4843983619
47,0.3372096787
48,0.3844663375
49,0.3752617117
50,1.2890292485
51,0.2885897779
52,0.4028030966
53,0.3264100797
54,0.3927615103
55,0.5401988494
56,0.3575084605
57,0.9025496
58,0.3634504979
59,1
60,0.7124995206
61,0.3664825345
62,0.3766237219
63,0.3343584294
64,0.366182362
65,0.5478841946
66,0.2501899335
67,0.4770353702
68,0.5240933548
69,0.6946393644
70,0.3034203251
71,0.4072005456
72,0.3032508809
73,0.4916518872
74,1.21744594
75,0.3937353909
76,0.4442454422
77,0.409301272
78,1.0894169998
79,0.6694283232
80,0.4692445184
81,
82,0.61585758
83,0.3038710516
84,0.4173215426
85,0.4975922186
86,0.9716845071
87,
88,0.5497226082
89,0.3789811048
90,0.88050177
91,0.2809586181
92,
93,0.3970427916
94,
95,0.3333035706
96,0.8785262055
97,0.3682272076
98,
99,0.3668041105
100,0.3440416711
101,0.484766914
102,0.7846315342
103,1.0087643342
104,0.7185029809
105,0.3693929114
106,0.5837555791
107,0.8894294584
108,0.8739872143
109,0.8979429801
110,
111,0.8498661164
112,
113,0.9647613235
114,0.8813343681
115,0.6071011813
116,0.9049193456
117,0.6912691089
118,0.3824040904
119,0.4995541912
120,0.3251392982
121,
122,0.6486135595
123,0.2369715071
124,0.6607276357
125,0.2078436284
126,0.2783235632
127,0.2762082925
128,0.3405653722
129,0.2678440973
130,0.6259197503
131,0.6201260446
132,0.6039368464
133,0.3449441948
134,0.3500310249
135,0.4547532205
136,0.4881568673
137,0.3408845462
138,0.5751468809
139,0.9135588067
140,0.3678040098
141,
142,1.0526598735
143,0.5641142702
144,0.5096075682
145,0.2871562506
146,
147,0.2963063814
148,0.2872024827
149,0.3409113105
150,0.5329220222
151,1.2116726894
152,0.5402570235
153,1.0450449704
154,
155,0.495817623
156,
157,0.4172242333
158,0.5831234017
159,0.496341574
160,0.4461663117
161,0.2794409416
162,0.4058200123
163,0.630876691
164,0.8793884019
165,0.5474089493
166,0.4480066402
167,0.403293376
168,0.371097493
169,0.6197332707
170,0.1400891847
171,0.4246497502
172,
173,0.5055126341
174,0.3927808596
175,0.3652955615
176,0.5090797513
177,0.2902438371
178,
179,0.589857596
180,0.372825566
181,0.367528005
182,
183,0.4010345395
184,
185,0.7225961951
186,0.4776142025
187,0.3794995268
188,0.6632531187
189,0.569093897
190,0.3141673639
191,0.4632964502
192,0.606957782
193,0.6824920503
194,0.4209842317
195,0.6446366742
196,0.3968061092
197,0.6293230444
198,
199,
200,
